iter	MAE	RMSE
713	0.1602363783	0.2485552882
714	0.1600820046	0.2481954108
715	0.1599366805	0.247897649
716	0.1596830095	0.2476035562
717	0.1594118886	0.2472279014
718	0.1592822315	0.2469096814
719	0.1589273655	0.2465100474
720	0.1588586448	0.2463075264
721	0.1585674979	0.2461081306
722	0.1584266718	0.2458565831
723	0.1582778975	0.2456239776
724	0.1582360116	0.2455342857
725	0.1580907771	0.2452008694
726	0.1579054133	0.2448466006
727	0.157796584	0.244580036
728	0.1574855519	0.2443379951
729	0.1574134062	0.244104551
730	0.1572062972	0.2439040914
731	0.1570661506	0.2435722772
732	0.1568773057	0.2433418065
733	0.1566981401	0.2429582047
734	0.1565615618	0.2426687112
735	0.1563493981	0.2424016557
736	0.1560985426	0.2418435282
737	0.1558875458	0.2415834199
738	0.1558277054	0.2414016453
739	0.1556956626	0.2410932122
740	0.1555726095	0.2408292593
741	0.1554692716	0.2405625253
742	0.1552454711	0.2402626533
743	0.1550543359	0.2399667329
744	0.1547962868	0.2398293788
745	0.1546370829	0.2395184684
746	0.1544576708	0.2392901851
747	0.1544135352	0.2392115345
748	0.1541822968	0.2388751655
749	0.153964561	0.2384475441
750	0.153835043	0.2381930253
751	0.1537309678	0.2379213592
752	0.1535039506	0.2376530133
753	0.1532545719	0.2374624579
754	0.1531490685	0.2372135111
755	0.1529726258	0.2368561738
756	0.1527615044	0.2364735879
757	0.1526627276	0.2362272184
758	0.1524839713	0.2359557377
759	0.1522937984	0.2355652688
760	0.1522235586	0.2354078848
761	0.1521190534	0.2351583076
762	0.1520122701	0.2348901121
763	0.15184076	0.234676675
764	0.1517842893	0.2345080072
765	0.1516280661	0.2342263071
766	0.1514605528	0.2338754476
767	0.1512634151	0.233645623
768	0.1510275007	0.2334268968
769	0.1508250361	0.2331694393
770	0.1507510065	0.2330073917
771	0.1505939133	0.2326279989
772	0.1504976043	0.2323522784
773	0.150370451	0.2320924052
774	0.1502100156	0.2319218299
775	0.1500229473	0.2316028013
776	0.1499215672	0.2313701248
777	0.1497992658	0.2311315104
778	0.1496677656	0.2309239995
779	0.1494788437	0.2306015369
780	0.1492722135	0.2303477112
781	0.1490517696	0.2299137033
782	0.1489714038	0.2297569476
783	0.1488921373	0.2295792967
784	0.1488179385	0.229393906
785	0.1486888225	0.2291534367
786	0.1486057023	0.2289849542
787	0.1484228631	0.2285759901
788	0.148305501	0.228317735
789	0.1481911758	0.2280525591
790	0.1480648207	0.2277694103
791	0.1479429578	0.2274845239
792	0.1478007324	0.2271473764
793	0.1476978088	0.2268891015
794	0.1475151947	0.2265344257
795	0.1472840786	0.2263424261
796	0.1472211224	0.2262447575
797	0.1471195696	0.2260729945
798	0.1470154819	0.2258886579
799	0.1469056994	0.2256366962
